celular,data_nascimento,idade,sexo,cidade_residencial,bairro_residencial,cidade_trabalho,nome_campanha,bairro_trabalho,cidade_escola,bairro_escola,categoria_frequentada
(11) 95562-8953,1958-03-16,67,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Sé,,,Bancos e Casas Lotéricas
(11) 98062-6804,1976-04-21,49,Feminino,São Paulo,Consolação,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 96559-2790,1989-07-29,36,Masculino,São Paulo,Pinheiros,São Paulo,placeholder_campanha,República,,,Farmácias e Drogarias
(11) 92604-1828,2007-07-02,18,Outro,Teixeira,Bela Vista,,placeholder_campanha,,,,Lojas de Eletrônicos e Games
(11) 98956-8886,1991-07-13,34,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,Sé,São Paulo,Limão,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98973-3536,1971-01-24,54,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,República,São Paulo,Higienópolis,Postos de Combustível e Serviços Automotivos
(11) 99320-2312,1937-09-25,88,Masculino,São Paulo,República,,placeholder_campanha,,São Paulo,Higienópolis,Bancos e Casas Lotéricas
(11) 91651-2343,1961-12-22,63,Feminino,São Paulo,Lapa,São Paulo,placeholder_campanha,Jabaquara,,,Calçados Confortáveis e Ortopédicos
(11) 97484-3144,2004-04-30,21,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Santana,São Paulo,Santana,Cafeterias e Bistrôs Modernos
(11) 99288-5345,1943-07-17,82,Masculino,Mendes,República,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 99900-5956,1958-08-22,67,Outro,Barros de Mendes,Perdizes,São Paulo,placeholder_campanha,Casa Verde,,,Supermercados de Bairro e Mercadinhos
(31) 95333-2891,1994-09-18,31,Masculino,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Casa Verde,São Paulo,Casa Verde,Lojas de Moda Urbana e Alternativa
(11) 91832-2512,1983-06-27,42,Outro,São Paulo,Limão,São Paulo,placeholder_campanha,Consolação,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98239-8007,1948-11-25,76,Outro,São Paulo,República,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 97049-3426,1964-09-29,61,Feminino,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Santo Amaro,,,Bancos e Casas Lotéricas
(11) 92684-6794,1939-07-17,86,Outro,São Paulo,Santo Amaro,,placeholder_campanha,,,,Bancos e Casas Lotéricas
(11) 93900-7755,1961-02-23,64,Masculino,São Paulo,Itaquera,,placeholder_campanha,,,,Bancos e Casas Lotéricas
(11) 92771-7267,1961-04-10,64,Masculino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,Campo Limpo,,,Bancos e Casas Lotéricas
(11) 94164-7528,1936-01-18,89,Feminino,São Paulo,República,,placeholder_campanha,,São Paulo,Limão,Produtos Naturais e Fitoterápicos
(11) 91452-2889,1948-03-15,77,Feminino,São Paulo,Limão,São Paulo,placeholder_campanha,República,,,Calçados Confortáveis e Ortopédicos
(11) 99379-2894,1975-12-19,49,Feminino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Santana,,,Postos de Combustível e Serviços Automotivos
(11) 94228-6967,1977-01-02,48,Feminino,São Paulo,Itaquera,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 95920-9308,1983-07-17,42,Feminino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Consolação,São Paulo,Limão,Restaurantes e Gastronomia
(11) 95930-7653,1969-08-02,56,Outro,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Higienópolis,,,Clínicas de Saúde e Bem-estar
(11) 98244-4501,2006-08-15,19,Outro,São Paulo,Santana,,placeholder_campanha,,São Paulo,Casa Verde,Cafeterias e Bistrôs Modernos
(11) 94848-6085,1958-09-23,67,Masculino,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Sé,,,Supermercados de Bairro e Mercadinhos
(11) 94185-7291,1978-11-10,46,Feminino,São Paulo,Higienópolis,,placeholder_campanha,,São Paulo,Santana,Lojas de Móveis e Decoração
(11) 99486-8611,1948-01-20,77,Masculino,São Paulo,Sé,São Paulo,placeholder_campanha,Penha,,,Clubes e Centros de Convivência
(11) 99270-7991,1948-08-24,77,Outro,São Paulo,Santana,,placeholder_campanha,,,,Igrejas e Lojas de Artigos Religiosos
(11) 95543-9540,1968-11-04,57,Feminino,São Paulo,Limão,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Higienópolis,Farmácias e Drogarias
(11) 94788-7275,1990-05-08,35,Outro,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Higienópolis,,,Supermercados e Mercados Express
(11) 97883-7381,1968-01-19,57,Outro,Freitas,Bela Vista,,placeholder_campanha,,,,Lojas de Móveis e Decoração
(11) 96763-5892,1942-11-14,82,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Tucuruvi,,,Igrejas e Lojas de Artigos Religiosos
(11) 91475-7371,2007-03-08,18,Feminino,São Paulo,Vila Prudente,,placeholder_campanha,,,,Lojas de Roupas e Sneakers
(71) 91441-7455,1975-02-04,50,Outro,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Sé,São Paulo,República,"Bancos, Agências e Correspondentes"
(11) 96529-7211,1972-04-05,53,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Bela Vista,,,Supermercados e Mercados Express
(41) 94673-2124,1939-05-31,86,Outro,São Paulo,Bela Vista,,placeholder_campanha,,São Paulo,Consolação,Bancos e Casas Lotéricas
(11) 92874-4571,1940-01-05,85,Feminino,São Paulo,Penha,São Paulo,placeholder_campanha,Santana,,,Clínicas Médicas e Laboratórios
(21) 91420-6111,2008-01-25,17,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Santana,,,Lojas de Eletrônicos e Games
(11) 95941-2983,1949-12-18,75,Outro,São Paulo,Penha,São Paulo,placeholder_campanha,Santana,,,Calçados Confortáveis e Ortopédicos
(11) 97882-9031,1980-07-30,45,Masculino,São Paulo,Penha,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 99548-5425,2004-04-15,21,Outro,São Paulo,Pinheiros,,placeholder_campanha,,,,Espaços Culturais e de Experiência Interativa
(11) 95022-2419,1952-12-07,72,Feminino,São Paulo,Casa Verde,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 99098-6325,1953-07-03,72,Masculino,São Paulo,Penha,,placeholder_campanha,,,,Fisioterapia e Terapias Complementares
(11) 95526-1166,1979-12-25,45,Outro,Fernandes de Duarte,República,São Paulo,placeholder_campanha,Higienópolis,,,Lojas de Roupas e Calçados
(11) 99041-8342,1986-05-12,39,Masculino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,Higienópolis,,,Postos de Combustível e Serviços Automotivos
(11) 97971-6419,1986-11-07,39,Feminino,São Paulo,Limão,São Paulo,placeholder_campanha,Consolação,,,Postos de Combustível e Serviços Automotivos
(31) 94138-4545,1935-11-23,89,Outro,São Paulo,Lapa,,placeholder_campanha,,,,Igrejas e Lojas de Artigos Religiosos
(31) 95853-4727,1964-12-23,60,Feminino,São Paulo,Bela Vista,,placeholder_campanha,,São Paulo,Bela Vista,Produtos Naturais e Fitoterápicos
(11) 93068-9042,1996-01-07,29,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,República,São Paulo,Sé,Cafeterias e Bistrôs Modernos
(11) 97565-9056,1995-10-11,30,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,Penha,São Paulo,Higienópolis,Barbearias/Salões com estética jovem
(11) 94697-9561,1967-06-20,58,Feminino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Sé,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 92625-4404,2001-06-23,24,Outro,São Paulo,República,São Paulo,placeholder_campanha,Bela Vista,São Paulo,Higienópolis,Coworkings e Centros de Estudo/Conexão
(11) 94792-5720,1987-02-26,38,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,República,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 94241-7965,1992-11-08,32,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Consolação,São Paulo,República,"Papelarias, Livrarias e Lojas de Escritório"
(11) 95728-8195,1978-12-05,46,Masculino,São Paulo,Tatuapé,,placeholder_campanha,,,,Postos de Combustível e Serviços Automotivos
(11) 98172-2317,1989-05-03,36,Outro,São Paulo,Santo Amaro,,placeholder_campanha,,,,Supermercados e Mercados Express
(11) 91339-5415,1998-06-09,27,Outro,São Paulo,Santana,São Paulo,placeholder_campanha,Casa Verde,São Paulo,Sé,Cafeterias e Bistrôs Modernos
(11) 97690-6460,2007-09-20,18,Feminino,São Paulo,Santana,São Paulo,placeholder_campanha,Casa Verde,,,Barbearias/Salões com estética jovem
(11) 91601-8451,1942-07-09,83,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Santana,,,Produtos Naturais e Fitoterápicos
(11) 91888-4073,1983-01-19,42,Outro,São Paulo,Campo Limpo,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 93146-5719,1973-11-11,51,Feminino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Lapa,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97684-2527,1962-07-03,63,Masculino,Gomes,Sé,São Paulo,placeholder_campanha,Consolação,,,Igrejas e Lojas de Artigos Religiosos
(11) 95479-7807,1976-01-13,49,Feminino,Caldeira da Praia,Casa Verde,São Paulo,placeholder_campanha,Consolação,,,Postos de Combustível e Serviços Automotivos
(11) 93236-2143,1978-05-28,47,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Casa Verde,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 99022-3434,1993-02-20,32,Feminino,São Paulo,Penha,São Paulo,placeholder_campanha,Limão,,,Clínicas de Saúde e Bem-estar
(11) 94912-7274,1959-09-15,66,Masculino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Limão,,,Clínicas Médicas e Laboratórios
(11) 91606-3068,1945-01-27,80,Outro,da Paz,Itaquera,,placeholder_campanha,,,,Clubes e Centros de Convivência
(11) 98486-1251,2000-11-02,25,Outro,São Paulo,Perdizes,,placeholder_campanha,,São Paulo,Casa Verde,Academias e Studios Fitness
(11) 97512-2315,1978-12-13,46,Feminino,São Paulo,Pinheiros,São Paulo,placeholder_campanha,Sé,,,Supermercados e Mercados Express
(11) 94846-5708,2008-02-19,17,Masculino,São Paulo,Santo Amaro,,placeholder_campanha,,,,Cafeterias e Bistrôs Modernos
(11) 95906-1474,2001-04-23,24,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,Consolação,São Paulo,Consolação,Lojas de Roupas e Sneakers
(11) 97267-4945,1991-04-17,34,Feminino,da Cruz de Goiás,Higienópolis,São Paulo,placeholder_campanha,Limão,São Paulo,Sé,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 93588-2210,1934-07-26,91,Feminino,Cunha,Lapa,São Paulo,placeholder_campanha,Butantã,,,Igrejas e Lojas de Artigos Religiosos
(11) 97302-8916,1952-06-09,73,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,República,São Paulo,Vila Prudente,Igrejas e Lojas de Artigos Religiosos
(11) 91803-9138,1991-08-26,34,Feminino,São Paulo,Casa Verde,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 93240-2591,2006-08-01,19,Outro,São Paulo,Tatuapé,,placeholder_campanha,,São Paulo,Consolação,Cafeterias e Bistrôs Modernos
(41) 97807-3877,1948-08-10,77,Masculino,São Paulo,Pinheiros,,placeholder_campanha,,,,Produtos Naturais e Fitoterápicos
(31) 95210-8894,1975-10-06,50,Feminino,São Paulo,Itaquera,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 94696-7511,1938-07-21,87,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Sé,,,Igrejas e Lojas de Artigos Religiosos
(11) 97086-2775,1967-12-11,57,Outro,São Paulo,Bela Vista,,placeholder_campanha,,,,Clínicas de Saúde e Bem-estar
(31) 92035-8606,1935-05-13,90,Outro,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Bela Vista,,,Clubes e Centros de Convivência
(11) 94846-9807,1984-09-23,41,Masculino,São Paulo,Penha,,placeholder_campanha,,,,Postos de Combustível e Serviços Automotivos
(11) 93531-7797,1984-08-14,41,Outro,São Paulo,Campo Limpo,,placeholder_campanha,,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97070-4559,1989-02-12,36,Feminino,São Paulo,Casa Verde,,placeholder_campanha,,São Paulo,Casa Verde,Supermercados e Mercados Express
(11) 94109-3001,1947-02-20,78,Feminino,São Paulo,Tucuruvi,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 96464-4990,1999-06-15,26,Masculino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Tucuruvi,,,Lojas de Eletrônicos e Games
(11) 93417-1046,1964-05-25,61,Feminino,São Paulo,Higienópolis,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 91422-3159,2005-02-13,20,Masculino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,República,São Paulo,Santana,Cafeterias e Bistrôs Modernos
(11) 96931-9408,1979-07-31,46,Outro,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Casa Verde,,,Supermercados e Mercados Express
(11) 98847-7580,1977-01-15,48,Feminino,São Paulo,Campo Limpo,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 93430-2076,1953-01-06,72,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Limão,,,Produtos Naturais e Fitoterápicos
(11) 99282-8048,1939-08-12,86,Masculino,São Paulo,Sé,,placeholder_campanha,,,,Produtos Naturais e Fitoterápicos
(11) 94522-8046,1961-03-25,64,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Sé,,,Calçados Confortáveis e Ortopédicos
(11) 95176-7132,1973-03-07,52,Masculino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Tatuapé,,,Clínicas de Saúde e Bem-estar
(11) 91982-6400,1964-04-29,61,Outro,São Paulo,Penha,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 91842-5712,1970-11-21,54,Outro,São Paulo,Sé,São Paulo,placeholder_campanha,Sé,São Paulo,Higienópolis,Clínicas de Saúde e Bem-estar
(11) 95564-4705,1976-03-20,49,Feminino,São Paulo,Butantã,,placeholder_campanha,,,,Supermercados e Mercados Express
(11) 95381-1474,1983-01-17,42,Masculino,São Paulo,Tatuapé,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 97566-2140,1942-09-27,83,Masculino,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Sé,,,Calçados Confortáveis e Ortopédicos
(11) 96105-6314,1942-02-01,83,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Santana,,,Igrejas e Lojas de Artigos Religiosos
(11) 97947-8957,1986-07-16,39,Outro,São Paulo,Limão,São Paulo,placeholder_campanha,República,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98972-9633,2006-07-25,19,Outro,São Paulo,Casa Verde,São Paulo,placeholder_campanha,Bela Vista,São Paulo,Jabaquara,Cinema e Streaming Experience Stores
(11) 92965-1126,2004-09-21,21,Feminino,São Paulo,Santana,São Paulo,placeholder_campanha,Consolação,,,Academias e Studios Fitness
(11) 91693-8147,2002-10-05,23,Masculino,São Paulo,República,,placeholder_campanha,,,,Espaços Culturais e de Experiência Interativa
(11) 97843-5743,2008-03-16,17,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Ipiranga,,,Academias e Studios Fitness
(11) 92734-4986,1942-11-05,83,Feminino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Penha,São Paulo,Santana,Produtos Naturais e Fitoterápicos
(11) 99693-9355,1947-04-27,78,Masculino,Carvalho do Campo,Penha,São Paulo,placeholder_campanha,Lapa,São Paulo,Consolação,Clínicas Médicas e Laboratórios
(11) 92234-3902,1996-02-27,29,Outro,São Paulo,Lapa,,placeholder_campanha,,,,Espaços Culturais e de Experiência Interativa
(11) 96295-6179,1946-07-20,79,Masculino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,República,,,Calçados Confortáveis e Ortopédicos
(11) 96085-8565,1979-11-28,45,Feminino,São Paulo,Penha,,placeholder_campanha,,São Paulo,Tatuapé,"Papelarias, Livrarias e Lojas de Escritório"
(11) 97299-8581,2005-03-26,20,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Itaquera,,,Coworkings e Centros de Estudo/Conexão
(11) 92013-8381,1986-11-30,38,Masculino,São Paulo,Itaquera,,placeholder_campanha,,São Paulo,Santana,"Bancos, Agências e Correspondentes"
(11) 98199-9586,1981-03-08,44,Outro,São Paulo,Penha,São Paulo,placeholder_campanha,Sé,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 96482-2079,1962-10-17,63,Feminino,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Tucuruvi,,,Fisioterapia e Terapias Complementares
(11) 96731-6082,1997-10-06,28,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Santana,,,Barbearias/Salões com estética jovem
(11) 96381-3093,1949-08-20,76,Outro,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Casa Verde,São Paulo,Consolação,Calçados Confortáveis e Ortopédicos
(61) 94145-4711,1989-11-26,35,Masculino,São Paulo,Tatuapé,,placeholder_campanha,,São Paulo,Santana,Clínicas de Saúde e Bem-estar
(11) 93147-7172,1941-08-31,84,Masculino,São Paulo,Butantã,,placeholder_campanha,,São Paulo,Sé,Calçados Confortáveis e Ortopédicos
(11) 94891-8277,2000-03-13,25,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Sé,,,Lojas de Eletrônicos e Games
(11) 98218-8564,1957-03-16,68,Feminino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Lapa,,,Clínicas Médicas e Laboratórios
(11) 91854-8873,2007-02-08,18,Feminino,São Paulo,Sé,,placeholder_campanha,,,,Cafeterias e Bistrôs Modernos
(11) 93626-5469,1969-08-28,56,Feminino,Monteiro,Higienópolis,,placeholder_campanha,,São Paulo,Ipiranga,Clínicas de Saúde e Bem-estar
(61) 91872-7495,1958-10-31,67,Outro,São Paulo,Vila Prudente,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 92623-6493,1967-03-18,58,Masculino,São Paulo,Tatuapé,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 98685-8349,1938-06-04,87,Outro,São Paulo,República,São Paulo,placeholder_campanha,Consolação,,,Fisioterapia e Terapias Complementares
(11) 92821-5720,1971-10-12,54,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,Limão,São Paulo,Vila Prudente,"Papelarias, Livrarias e Lojas de Escritório"
(11) 99443-4963,1947-07-10,78,Outro,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Higienópolis,,,Supermercados de Bairro e Mercadinhos
(11) 96908-2108,1948-08-22,77,Outro,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Sé,São Paulo,República,Igrejas e Lojas de Artigos Religiosos
(11) 96850-2106,1957-05-15,68,Feminino,São Paulo,Perdizes,São Paulo,placeholder_campanha,República,São Paulo,República,Clínicas Médicas e Laboratórios
(11) 98612-8840,1979-12-16,45,Outro,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Limão,São Paulo,Consolação,Supermercados e Mercados Express
(11) 96080-9444,2007-04-27,18,Feminino,Cardoso do Galho,Pinheiros,São Paulo,placeholder_campanha,Consolação,São Paulo,Tatuapé,Academias e Studios Fitness
(11) 97029-8159,1957-08-20,68,Feminino,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Sé,,,Produtos Naturais e Fitoterápicos
(11) 92353-7955,1971-02-21,54,Masculino,São Paulo,Santana,São Paulo,placeholder_campanha,Bela Vista,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97981-3730,1970-12-09,54,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Penha,,,Lojas de Móveis e Decoração
(11) 91939-2229,1980-11-06,45,Outro,São Paulo,Penha,São Paulo,placeholder_campanha,Tucuruvi,,,Restaurantes e Gastronomia
(11) 98179-1570,1967-02-04,58,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Higienópolis,São Paulo,Sé,Clínicas de Saúde e Bem-estar
(11) 92259-3255,1952-03-29,73,Outro,São Paulo,Itaquera,,placeholder_campanha,,São Paulo,Consolação,Clubes e Centros de Convivência
(11) 92929-5288,2001-01-02,24,Feminino,São Paulo,Tucuruvi,,placeholder_campanha,,São Paulo,Ipiranga,Lojas de Eletrônicos e Games
(11) 92213-8406,2007-03-20,18,Masculino,São Paulo,Jabaquara,,placeholder_campanha,,,,Academias e Studios Fitness
(11) 92063-9882,1959-01-29,66,Feminino,São Paulo,Santana,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 99335-4673,1979-04-29,46,Masculino,Teixeira,Higienópolis,São Paulo,placeholder_campanha,República,,,Clínicas de Saúde e Bem-estar
(11) 93126-2412,1947-06-27,78,Masculino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Santana,São Paulo,Bela Vista,Clubes e Centros de Convivência
(11) 99476-6644,1970-04-04,55,Masculino,São Paulo,Pinheiros,,placeholder_campanha,,São Paulo,Perdizes,Postos de Combustível e Serviços Automotivos
(21) 93034-9488,1972-03-08,53,Masculino,São Paulo,Santana,São Paulo,placeholder_campanha,Casa Verde,,,Postos de Combustível e Serviços Automotivos
(11) 92292-5105,2005-09-05,20,Masculino,São Paulo,Pinheiros,São Paulo,placeholder_campanha,Santana,,,Lojas de Roupas e Sneakers
(11) 93526-3804,1967-11-26,57,Outro,São Paulo,Butantã,São Paulo,placeholder_campanha,Santo Amaro,,,Supermercados e Mercados Express
(11) 95336-4453,1973-09-24,52,Outro,São Paulo,Perdizes,São Paulo,placeholder_campanha,Penha,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97653-5873,1953-02-26,72,Feminino,São Paulo,Consolação,São Paulo,placeholder_campanha,Sé,São Paulo,Casa Verde,Calçados Confortáveis e Ortopédicos
(11) 96658-7532,1963-06-26,62,Masculino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Sé,São Paulo,Consolação,Supermercados de Bairro e Mercadinhos
(11) 97293-7850,1966-06-25,59,Masculino,Cardoso,Santana,,placeholder_campanha,,,,Clínicas de Saúde e Bem-estar
(11) 93610-9163,1967-07-03,58,Outro,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Sé,,,"Bancos, Agências e Correspondentes"
(11) 96781-1797,1971-11-23,53,Masculino,São Paulo,Butantã,,placeholder_campanha,,,,Lojas de Roupas e Calçados
(11) 91133-2761,1993-09-17,32,Feminino,São Paulo,Limão,,placeholder_campanha,,,,Clínicas de Saúde e Bem-estar
(11) 91838-4189,1960-11-14,64,Feminino,São Paulo,República,São Paulo,placeholder_campanha,Higienópolis,São Paulo,Pinheiros,Clínicas Médicas e Laboratórios
(61) 97114-6555,1967-02-05,58,Outro,Farias,Higienópolis,São Paulo,placeholder_campanha,Higienópolis,São Paulo,República,Lojas de Roupas e Calçados
(11) 93440-9446,1986-05-26,39,Masculino,São Paulo,Butantã,São Paulo,placeholder_campanha,Higienópolis,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 99311-9351,1983-03-25,42,Outro,São Paulo,Lapa,São Paulo,placeholder_campanha,Penha,,,Farmácias e Drogarias
(71) 96040-1436,1935-07-06,90,Outro,São Paulo,Perdizes,,placeholder_campanha,,,,Fisioterapia e Terapias Complementares
(11) 91841-8871,1983-03-08,42,Masculino,São Paulo,Butantã,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 92800-4125,1973-05-31,52,Masculino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Limão,,,"Papelarias, Livrarias e Lojas de Escritório"
(21) 93262-9498,1993-06-05,32,Masculino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Consolação,,,Postos de Combustível e Serviços Automotivos
(11) 96804-5331,1957-09-16,68,Outro,São Paulo,Casa Verde,São Paulo,placeholder_campanha,República,,,Bancos e Casas Lotéricas
(11) 99011-6194,1953-05-28,72,Feminino,São Paulo,Limão,São Paulo,placeholder_campanha,Higienópolis,,,Restaurantes com comida caseira
(11) 93399-5758,1973-11-06,52,Masculino,São Paulo,República,São Paulo,placeholder_campanha,República,,,"Bancos, Agências e Correspondentes"
(11) 99824-5442,1946-08-06,79,Outro,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Tucuruvi,Bancos e Casas Lotéricas
(11) 97771-6411,1971-05-27,54,Outro,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Consolação,,,Lojas de Roupas e Calçados
(11) 94267-5706,2003-05-03,22,Feminino,São Paulo,Consolação,,placeholder_campanha,,São Paulo,Higienópolis,Lanchonetes e Fast-Food
